checking_account_status,duration_month,credit_history,purpose,credit_amount,savings_account,employment_since,installment_rate_pct,personal_status_sex,other_debtors,residence_since,property,age,other_installment_plans,housing,existing_credits,job,dependents,telephone,foreign_worker,target,default_risk,risk_label
< 0 DM,15,Existing credits paid back duly,New car,2511,< 100 DM,Unemployed,1,A92,A101,4,Car or other,23,A143,Rent,1,Skilled employee,1,A191,A201,1,0,Good Credit
< 0 DM,12,Existing credits paid back duly,New car,1274,< 100 DM,< 1 year,3,A92,A101,1,Real estate,37,A143,Own,1,Unskilled resident,1,A191,A201,2,1,Bad Credit
No checking account,21,Existing credits paid back duly,Used car,5248,Unknown / no savings,1-4 years,1,A93,A101,3,Car or other,26,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,15,Existing credits paid back duly,Used car,3029,< 100 DM,4-7 years,2,A93,A101,2,Car or other,33,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
< 0 DM,6,Existing credits paid back duly,Furniture/equipment,428,< 100 DM,>= 7 years,2,A92,A101,1,Savings/life insurance,49,A141,Own,1,Skilled employee,1,A192,A201,1,0,Good Credit
< 0 DM,18,Existing credits paid back duly,New car,976,< 100 DM,< 1 year,1,A92,A101,2,Car or other,23,A143,Own,1,Unskilled resident,1,A191,A201,2,1,Bad Credit
0-200 DM,12,Existing credits paid back duly,Business,841,100-500 DM,4-7 years,2,A92,A101,4,Real estate,23,A143,Rent,1,Unskilled resident,1,A191,A201,1,0,Good Credit
No checking account,30,Critical account / other credits,Radio/television,5771,< 100 DM,4-7 years,4,A92,A101,2,Car or other,25,A143,Own,2,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,12,Delay in past payments,Repairs,1555,>= 1000 DM,>= 7 years,4,A93,A101,4,Unknown / no property,55,A143,Free,2,Skilled employee,2,A191,A201,2,1,Bad Credit
< 0 DM,24,Existing credits paid back duly,New car,1285,Unknown / no savings,4-7 years,4,A92,A101,4,Unknown / no property,32,A143,Rent,1,Skilled employee,1,A191,A201,2,1,Bad Credit
>= 200 DM,6,Critical account / other credits,New car,1299,< 100 DM,1-4 years,1,A93,A101,1,Real estate,74,A143,Own,3,Unemployed / unskilled non-resident,2,A191,A202,1,0,Good Credit
>= 200 DM,15,Critical account / other credits,Radio/television,1271,Unknown / no savings,1-4 years,3,A93,A101,4,Unknown / no property,39,A143,Free,2,Skilled employee,1,A192,A201,2,1,Bad Credit
No checking account,24,Existing credits paid back duly,New car,1393,< 100 DM,1-4 years,2,A93,A103,2,Real estate,31,A143,Own,1,Skilled employee,1,A192,A201,1,0,Good Credit
< 0 DM,12,Critical account / other credits,New car,691,< 100 DM,>= 7 years,4,A93,A101,3,Savings/life insurance,35,A143,Own,2,Skilled employee,1,A191,A201,2,1,Bad Credit
No checking account,15,Critical account / other credits,New car,5045,Unknown / no savings,>= 7 years,1,A92,A101,4,Car or other,59,A143,Own,1,Skilled employee,1,A192,A201,1,0,Good Credit
< 0 DM,18,Critical account / other credits,Furniture/equipment,2124,< 100 DM,1-4 years,4,A92,A101,4,Real estate,24,A143,Rent,2,Skilled employee,1,A191,A201,2,1,Bad Credit
< 0 DM,12,Existing credits paid back duly,Radio/television,2214,< 100 DM,1-4 years,4,A93,A101,3,Savings/life insurance,24,A143,Own,1,Unskilled resident,1,A191,A201,1,0,Good Credit
No checking account,21,Critical account / other credits,New car,12680,Unknown / no savings,>= 7 years,4,A93,A101,4,Unknown / no property,30,A143,Free,1,Management / self-employed,1,A192,A201,2,1,Bad Credit
No checking account,24,Critical account / other credits,New car,2463,100-500 DM,4-7 years,4,A94,A101,3,Savings/life insurance,27,A143,Own,2,Skilled employee,1,A192,A201,1,0,Good Credit
0-200 DM,12,Existing credits paid back duly,Radio/television,1155,< 100 DM,>= 7 years,3,A94,A103,3,Real estate,40,A141,Own,2,Unskilled resident,1,A191,A201,1,0,Good Credit
< 0 DM,30,Existing credits paid back duly,Furniture/equipment,3108,< 100 DM,< 1 year,2,A91,A101,4,Savings/life insurance,31,A143,Own,1,Unskilled resident,1,A191,A201,2,1,Bad Credit
No checking account,10,Existing credits paid back duly,Used car,2901,Unknown / no savings,< 1 year,1,A92,A101,4,Real estate,31,A143,Rent,1,Skilled employee,1,A191,A201,1,0,Good Credit
0-200 DM,12,Critical account / other credits,Furniture/equipment,3617,< 100 DM,>= 7 years,1,A93,A101,4,Car or other,28,A143,Rent,3,Skilled employee,1,A192,A201,1,0,Good Credit
No checking account,12,Critical account / other credits,Radio/television,1655,< 100 DM,>= 7 years,2,A93,A101,4,Real estate,63,A143,Own,2,Unskilled resident,1,A192,A201,1,0,Good Credit
< 0 DM,24,Existing credits paid back duly,Used car,2812,Unknown / no savings,>= 7 years,2,A92,A101,4,Real estate,26,A143,Rent,1,Skilled employee,1,A191,A201,1,0,Good Credit
< 0 DM,36,Critical account / other credits,Education,8065,< 100 DM,1-4 years,3,A92,A101,2,Unknown / no property,25,A143,Own,2,Management / self-employed,1,A192,A201,2,1,Bad Credit
No checking account,21,Critical account / other credits,Used car,3275,< 100 DM,>= 7 years,1,A93,A101,4,Car or other,36,A143,Own,1,Management / self-employed,1,A192,A201,1,0,Good Credit
No checking account,24,Critical account / other credits,Radio/television,2223,100-500 DM,>= 7 years,4,A93,A101,4,Savings/life insurance,52,A141,Own,2,Skilled employee,1,A191,A201,1,0,Good Credit
>= 200 DM,12,Critical account / other credits,New car,1480,500-1000 DM,Unemployed,2,A93,A101,4,Unknown / no property,66,A141,Free,3,Unemployed / unskilled non-resident,1,A191,A201,1,0,Good Credit
< 0 DM,24,Existing credits paid back duly,New car,1371,Unknown / no savings,1-4 years,4,A92,A101,4,Real estate,25,A143,Rent,1,Skilled employee,1,A191,A201,2,1,Bad Credit
No checking account,36,Critical account / other credits,New car,3535,< 100 DM,4-7 years,4,A93,A101,4,Car or other,37,A143,Own,2,Skilled employee,1,A192,A201,1,0,Good Credit
< 0 DM,18,Existing credits paid back duly,Radio/television,3509,< 100 DM,4-7 years,4,A92,A103,1,Real estate,25,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,36,Critical account / other credits,Used car,5711,>= 1000 DM,>= 7 years,4,A93,A101,2,Car or other,38,A143,Own,2,Management / self-employed,1,A192,A201,1,0,Good Credit
0-200 DM,18,Existing credits paid back duly,Repairs,3872,< 100 DM,Unemployed,2,A92,A101,4,Car or other,67,A143,Own,1,Skilled employee,1,A192,A201,1,0,Good Credit
0-200 DM,39,Critical account / other credits,Radio/television,4933,< 100 DM,4-7 years,2,A93,A103,2,Real estate,25,A143,Own,2,Skilled employee,1,A191,A201,2,1,Bad Credit
No checking account,24,Critical account / other credits,New car,1940,>= 1000 DM,>= 7 years,4,A93,A101,4,Real estate,60,A143,Own,1,Skilled employee,1,A192,A201,1,0,Good Credit
0-200 DM,12,No credits / paid back duly,Retraining,1410,< 100 DM,1-4 years,2,A93,A101,2,Real estate,31,A143,Own,1,Unskilled resident,1,A192,A201,1,0,Good Credit
0-200 DM,12,Existing credits paid back duly,New car,836,100-500 DM,< 1 year,4,A92,A101,2,Savings/life insurance,23,A141,Own,1,Unskilled resident,1,A191,A201,2,1,Bad Credit
0-200 DM,20,Existing credits paid back duly,Used car,6468,Unknown / no savings,Unemployed,1,A91,A101,4,Real estate,60,A143,Own,1,Management / self-employed,1,A192,A201,1,0,Good Credit
0-200 DM,18,Existing credits paid back duly,Business,1941,>= 1000 DM,1-4 years,4,A93,A101,2,Savings/life insurance,35,A143,Own,1,Unskilled resident,1,A192,A201,1,0,Good Credit
No checking account,22,Existing credits paid back duly,Radio/television,2675,500-1000 DM,>= 7 years,3,A93,A101,4,Car or other,40,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,48,Critical account / other credits,Used car,2751,Unknown / no savings,>= 7 years,4,A93,A101,3,Car or other,38,A143,Own,2,Skilled employee,2,A192,A201,1,0,Good Credit
0-200 DM,48,Delay in past payments,Education,6224,< 100 DM,>= 7 years,4,A93,A101,4,Unknown / no property,50,A143,Free,1,Skilled employee,1,A191,A201,2,1,Bad Credit
< 0 DM,40,Critical account / other credits,Education,5998,< 100 DM,1-4 years,4,A93,A101,3,Unknown / no property,27,A141,Own,1,Skilled employee,1,A192,A201,2,1,Bad Credit
0-200 DM,21,Existing credits paid back duly,Business,1188,< 100 DM,>= 7 years,2,A92,A101,4,Savings/life insurance,39,A143,Own,1,Skilled employee,2,A191,A201,2,1,Bad Credit
No checking account,24,Existing credits paid back duly,Used car,6313,Unknown / no savings,>= 7 years,3,A93,A101,4,Car or other,41,A143,Own,1,Management / self-employed,2,A192,A201,1,0,Good Credit
No checking account,6,Critical account / other credits,Furniture/equipment,1221,Unknown / no savings,1-4 years,1,A94,A101,2,Savings/life insurance,27,A143,Own,2,Skilled employee,1,A191,A201,1,0,Good Credit
>= 200 DM,24,Existing credits paid back duly,Furniture/equipment,2892,< 100 DM,>= 7 years,3,A91,A101,4,Unknown / no property,51,A143,Free,1,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,24,Existing credits paid back duly,Furniture/equipment,3062,500-1000 DM,>= 7 years,4,A93,A101,3,Unknown / no property,32,A143,Rent,1,Skilled employee,1,A192,A201,1,0,Good Credit
No checking account,9,Existing credits paid back duly,Furniture/equipment,2301,100-500 DM,< 1 year,2,A92,A101,4,Savings/life insurance,22,A143,Rent,1,Skilled employee,1,A191,A201,1,0,Good Credit
< 0 DM,18,Existing credits paid back duly,Used car,7511,Unknown / no savings,>= 7 years,1,A93,A101,4,Savings/life insurance,51,A143,Free,1,Skilled employee,2,A192,A201,2,1,Bad Credit
No checking account,12,Critical account / other credits,Furniture/equipment,1258,< 100 DM,< 1 year,2,A92,A101,4,Savings/life insurance,22,A143,Rent,2,Unskilled resident,1,A191,A201,1,0,Good Credit
No checking account,24,Delay in past payments,New car,717,Unknown / no savings,>= 7 years,4,A94,A101,4,Car or other,54,A143,Own,2,Skilled employee,1,A192,A201,1,0,Good Credit
0-200 DM,9,Existing credits paid back duly,New car,1549,Unknown / no savings,< 1 year,4,A93,A101,2,Real estate,35,A143,Own,1,Unemployed / unskilled non-resident,1,A191,A201,1,0,Good Credit
No checking account,24,Critical account / other credits,Education,1597,< 100 DM,>= 7 years,4,A93,A101,4,Unknown / no property,54,A143,Free,2,Skilled employee,2,A191,A201,1,0,Good Credit
0-200 DM,18,Critical account / other credits,Radio/television,1795,< 100 DM,>= 7 years,3,A92,A103,4,Real estate,48,A141,Rent,2,Unskilled resident,1,A192,A201,1,0,Good Credit
< 0 DM,20,Critical account / other credits,Furniture/equipment,4272,< 100 DM,>= 7 years,1,A92,A101,4,Savings/life insurance,24,A143,Own,2,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,12,Critical account / other credits,Radio/television,976,Unknown / no savings,>= 7 years,4,A93,A101,4,Car or other,35,A143,Own,2,Skilled employee,1,A191,A201,1,0,Good Credit
0-200 DM,12,Existing credits paid back duly,New car,7472,Unknown / no savings,Unemployed,1,A92,A101,2,Real estate,24,A143,Rent,1,Unemployed / unskilled non-resident,1,A191,A201,1,0,Good Credit
< 0 DM,36,Existing credits paid back duly,New car,9271,< 100 DM,4-7 years,2,A93,A101,1,Car or other,24,A143,Own,1,Skilled employee,1,A192,A201,2,1,Bad Credit
0-200 DM,6,Existing credits paid back duly,Radio/television,590,< 100 DM,< 1 year,3,A94,A101,3,Real estate,26,A143,Own,1,Unskilled resident,1,A191,A202,1,0,Good Credit
No checking account,12,Critical account / other credits,Radio/television,930,Unknown / no savings,>= 7 years,4,A93,A101,4,Real estate,65,A143,Own,4,Skilled employee,1,A191,A201,1,0,Good Credit
0-200 DM,42,All credits at this bank paid back,Used car,9283,< 100 DM,Unemployed,1,A93,A101,2,Unknown / no property,55,A141,Free,1,Management / self-employed,1,A192,A201,1,0,Good Credit
0-200 DM,15,No credits / paid back duly,New car,1778,< 100 DM,< 1 year,2,A92,A101,1,Real estate,26,A143,Rent,2,Unemployed / unskilled non-resident,1,A191,A201,2,1,Bad Credit
0-200 DM,8,Existing credits paid back duly,Business,907,< 100 DM,< 1 year,3,A94,A101,2,Real estate,26,A143,Own,1,Skilled employee,1,A192,A201,1,0,Good Credit
0-200 DM,6,Existing credits paid back duly,Radio/television,484,< 100 DM,4-7 years,3,A94,A103,3,Real estate,28,A141,Own,1,Unskilled resident,1,A191,A201,1,0,Good Credit
< 0 DM,36,Critical account / other credits,Used car,9629,< 100 DM,4-7 years,4,A93,A101,4,Car or other,24,A143,Own,2,Skilled employee,1,A192,A201,2,1,Bad Credit
< 0 DM,48,Existing credits paid back duly,Domestic appliances,3051,< 100 DM,1-4 years,3,A93,A101,4,Car or other,54,A143,Own,1,Skilled employee,1,A191,A201,2,1,Bad Credit
< 0 DM,48,Existing credits paid back duly,New car,3931,< 100 DM,4-7 years,4,A93,A101,4,Unknown / no property,46,A143,Free,1,Skilled employee,2,A191,A201,2,1,Bad Credit
0-200 DM,36,Delay in past payments,New car,7432,< 100 DM,1-4 years,2,A92,A101,2,Savings/life insurance,54,A143,Rent,1,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,6,Existing credits paid back duly,Domestic appliances,1338,500-1000 DM,1-4 years,1,A91,A101,4,Real estate,62,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,6,Critical account / other credits,Radio/television,1554,< 100 DM,4-7 years,1,A92,A101,2,Car or other,24,A143,Rent,2,Skilled employee,1,A192,A201,1,0,Good Credit
< 0 DM,36,Existing credits paid back duly,Other,15857,< 100 DM,Unemployed,2,A91,A102,3,Car or other,43,A143,Own,1,Management / self-employed,1,A191,A201,1,0,Good Credit
< 0 DM,18,Existing credits paid back duly,Radio/television,1345,< 100 DM,1-4 years,4,A94,A101,3,Real estate,26,A141,Own,1,Skilled employee,1,A191,A201,2,1,Bad Credit
No checking account,12,Existing credits paid back duly,New car,1101,< 100 DM,1-4 years,3,A94,A101,2,Real estate,27,A143,Own,2,Skilled employee,1,A192,A201,1,0,Good Credit
>= 200 DM,12,Existing credits paid back duly,Radio/television,3016,< 100 DM,1-4 years,3,A94,A101,1,Car or other,24,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
< 0 DM,36,Existing credits paid back duly,Furniture/equipment,2712,< 100 DM,>= 7 years,2,A93,A101,2,Savings/life insurance,41,A141,Own,1,Skilled employee,2,A191,A201,2,1,Bad Credit
< 0 DM,8,Critical account / other credits,New car,731,< 100 DM,>= 7 years,4,A93,A101,4,Real estate,47,A143,Own,2,Unskilled resident,1,A191,A201,1,0,Good Credit
No checking account,18,Critical account / other credits,Furniture/equipment,3780,< 100 DM,< 1 year,3,A91,A101,2,Car or other,35,A143,Own,2,Management / self-employed,1,A192,A201,1,0,Good Credit
< 0 DM,21,Critical account / other credits,New car,1602,< 100 DM,>= 7 years,4,A94,A101,3,Car or other,30,A143,Own,2,Skilled employee,1,A192,A201,1,0,Good Credit
< 0 DM,18,Critical account / other credits,New car,3966,< 100 DM,>= 7 years,1,A92,A101,4,Real estate,33,A141,Rent,3,Skilled employee,1,A192,A201,2,1,Bad Credit
No checking account,18,No credits / paid back duly,Business,4165,< 100 DM,1-4 years,2,A93,A101,2,Car or other,36,A142,Own,2,Skilled employee,2,A191,A201,2,1,Bad Credit
< 0 DM,36,Existing credits paid back duly,Used car,8335,Unknown / no savings,>= 7 years,3,A93,A101,4,Unknown / no property,47,A143,Free,1,Skilled employee,1,A191,A201,2,1,Bad Credit
0-200 DM,48,Delay in past payments,Business,6681,Unknown / no savings,1-4 years,4,A93,A101,4,Unknown / no property,38,A143,Free,1,Skilled employee,2,A192,A201,1,0,Good Credit
No checking account,24,Delay in past payments,Business,2375,500-1000 DM,1-4 years,4,A93,A101,2,Car or other,44,A143,Own,2,Skilled employee,2,A192,A201,1,0,Good Credit
< 0 DM,18,Existing credits paid back duly,New car,1216,< 100 DM,< 1 year,4,A92,A101,3,Car or other,23,A143,Rent,1,Skilled employee,1,A192,A201,2,1,Bad Credit
< 0 DM,45,No credits / paid back duly,Business,11816,< 100 DM,>= 7 years,2,A93,A101,4,Car or other,29,A143,Rent,2,Skilled employee,1,A191,A201,2,1,Bad Credit
0-200 DM,24,Existing credits paid back duly,Radio/television,5084,Unknown / no savings,>= 7 years,2,A92,A101,4,Car or other,42,A143,Own,1,Skilled employee,1,A192,A201,1,0,Good Credit
>= 200 DM,15,Existing credits paid back duly,Radio/television,2327,< 100 DM,< 1 year,2,A92,A101,3,Real estate,25,A143,Own,1,Unskilled resident,1,A191,A201,2,1,Bad Credit
< 0 DM,12,No credits / paid back duly,New car,1082,< 100 DM,1-4 years,4,A93,A101,4,Car or other,48,A141,Own,2,Skilled employee,1,A191,A201,2,1,Bad Credit
No checking account,12,Existing credits paid back duly,Radio/television,886,Unknown / no savings,1-4 years,4,A92,A101,2,Car or other,21,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,4,Existing credits paid back duly,Furniture/equipment,601,< 100 DM,< 1 year,1,A92,A101,3,Real estate,23,A143,Rent,1,Unskilled resident,2,A191,A201,1,0,Good Credit
< 0 DM,24,Critical account / other credits,Used car,2957,< 100 DM,>= 7 years,4,A93,A101,4,Savings/life insurance,63,A143,Own,2,Skilled employee,1,A192,A201,1,0,Good Credit
No checking account,24,Critical account / other credits,Radio/television,2611,< 100 DM,>= 7 years,4,A94,A102,3,Real estate,46,A143,Own,2,Skilled employee,1,A191,A201,1,0,Good Credit
< 0 DM,36,Existing credits paid back duly,Furniture/equipment,5179,< 100 DM,4-7 years,4,A93,A101,2,Savings/life insurance,29,A143,Own,1,Skilled employee,1,A191,A201,2,1,Bad Credit
No checking account,21,Delay in past payments,Used car,2993,< 100 DM,1-4 years,3,A93,A101,2,Real estate,28,A142,Own,2,Unskilled resident,1,A191,A201,1,0,Good Credit
No checking account,18,Existing credits paid back duly,Repairs,1943,< 100 DM,< 1 year,4,A92,A101,4,Real estate,23,A143,Own,1,Skilled employee,1,A191,A201,2,1,Bad Credit
No checking account,24,All credits at this bank paid back,Business,1559,< 100 DM,4-7 years,4,A93,A101,4,Car or other,50,A141,Own,1,Skilled employee,1,A192,A201,1,0,Good Credit
No checking account,18,Existing credits paid back duly,Furniture/equipment,3422,< 100 DM,>= 7 years,4,A93,A101,4,Savings/life insurance,47,A141,Own,3,Skilled employee,2,A192,A201,1,0,Good Credit
0-200 DM,21,Existing credits paid back duly,Furniture/equipment,3976,Unknown / no savings,4-7 years,2,A93,A101,3,Car or other,35,A143,Own,1,Skilled employee,1,A192,A201,1,0,Good Credit
No checking account,18,Existing credits paid back duly,New car,6761,Unknown / no savings,1-4 years,2,A93,A101,4,Car or other,68,A143,Rent,2,Skilled employee,1,A191,A201,2,1,Bad Credit
No checking account,24,Existing credits paid back duly,New car,1249,< 100 DM,< 1 year,4,A94,A101,2,Real estate,28,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
< 0 DM,9,Existing credits paid back duly,Radio/television,1364,< 100 DM,4-7 years,3,A93,A101,4,Real estate,59,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
< 0 DM,12,Existing credits paid back duly,Radio/television,709,< 100 DM,>= 7 years,4,A93,A101,4,Real estate,57,A142,Own,1,Unskilled resident,1,A191,A201,2,1,Bad Credit
< 0 DM,20,Critical account / other credits,New car,2235,< 100 DM,1-4 years,4,A94,A103,2,Savings/life insurance,33,A141,Rent,2,Skilled employee,1,A191,A202,2,1,Bad Credit
No checking account,24,Critical account / other credits,Used car,4042,Unknown / no savings,4-7 years,3,A93,A101,4,Savings/life insurance,43,A143,Own,2,Skilled employee,1,A192,A201,1,0,Good Credit
No checking account,15,Critical account / other credits,Radio/television,1471,< 100 DM,1-4 years,4,A93,A101,4,Unknown / no property,35,A143,Free,2,Skilled employee,1,A192,A201,1,0,Good Credit
< 0 DM,18,All credits at this bank paid back,New car,1442,< 100 DM,4-7 years,4,A93,A101,4,Unknown / no property,32,A143,Free,2,Unskilled resident,2,A191,A201,2,1,Bad Credit
No checking account,36,Delay in past payments,New car,10875,< 100 DM,>= 7 years,2,A93,A101,2,Car or other,45,A143,Own,2,Skilled employee,2,A192,A201,1,0,Good Credit
No checking account,24,Existing credits paid back duly,New car,1474,100-500 DM,< 1 year,4,A94,A101,3,Real estate,33,A143,Own,1,Skilled employee,1,A192,A201,1,0,Good Credit
No checking account,10,Existing credits paid back duly,Retraining,894,Unknown / no savings,4-7 years,4,A92,A101,3,Savings/life insurance,40,A143,Own,1,Skilled employee,1,A192,A201,1,0,Good Credit
No checking account,15,Critical account / other credits,Furniture/equipment,3343,< 100 DM,1-4 years,4,A93,A101,2,Unknown / no property,28,A143,Free,1,Skilled employee,1,A192,A201,1,0,Good Credit
< 0 DM,15,Existing credits paid back duly,New car,3959,< 100 DM,1-4 years,3,A92,A101,2,Savings/life insurance,29,A143,Own,1,Skilled employee,1,A192,A201,2,1,Bad Credit
No checking account,9,Existing credits paid back duly,New car,3577,100-500 DM,1-4 years,1,A93,A103,2,Real estate,26,A143,Rent,1,Skilled employee,2,A191,A202,1,0,Good Credit
No checking account,24,Critical account / other credits,Used car,5804,>= 1000 DM,1-4 years,4,A93,A101,2,Real estate,27,A143,Own,2,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,18,Delay in past payments,Business,2169,< 100 DM,1-4 years,4,A94,A101,2,Car or other,28,A143,Own,1,Skilled employee,1,A192,A201,2,1,Bad Credit
< 0 DM,24,Existing credits paid back duly,Radio/television,2439,< 100 DM,< 1 year,4,A92,A101,4,Real estate,35,A143,Own,1,Skilled employee,1,A192,A201,2,1,Bad Credit
No checking account,27,Critical account / other credits,Furniture/equipment,4526,>= 1000 DM,< 1 year,4,A93,A101,2,Real estate,32,A142,Own,2,Unskilled resident,2,A192,A201,1,0,Good Credit
No checking account,10,Existing credits paid back duly,Furniture/equipment,2210,< 100 DM,1-4 years,2,A93,A101,2,Real estate,25,A141,Rent,1,Unskilled resident,1,A191,A201,2,1,Bad Credit
No checking account,15,Existing credits paid back duly,Furniture/equipment,2221,500-1000 DM,1-4 years,2,A92,A101,4,Car or other,20,A143,Rent,1,Skilled employee,1,A191,A201,1,0,Good Credit
< 0 DM,18,Existing credits paid back duly,Radio/television,2389,< 100 DM,< 1 year,4,A92,A101,1,Car or other,27,A142,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,12,Critical account / other credits,Furniture/equipment,3331,< 100 DM,>= 7 years,2,A93,A101,4,Savings/life insurance,42,A142,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,36,Existing credits paid back duly,Business,7409,Unknown / no savings,>= 7 years,3,A93,A101,2,Savings/life insurance,37,A143,Own,2,Skilled employee,1,A191,A201,1,0,Good Credit
< 0 DM,12,Existing credits paid back duly,Furniture/equipment,652,< 100 DM,>= 7 years,4,A92,A101,4,Savings/life insurance,24,A143,Rent,1,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,36,Delay in past payments,Furniture/equipment,7678,500-1000 DM,4-7 years,2,A92,A101,4,Car or other,40,A143,Own,2,Skilled employee,1,A192,A201,1,0,Good Credit
>= 200 DM,6,Critical account / other credits,New car,1343,< 100 DM,>= 7 years,1,A93,A101,4,Real estate,46,A143,Own,2,Skilled employee,2,A191,A202,1,0,Good Credit
< 0 DM,24,Critical account / other credits,Business,1382,100-500 DM,4-7 years,4,A93,A101,1,Real estate,26,A143,Own,2,Skilled employee,1,A192,A201,1,0,Good Credit
No checking account,15,Existing credits paid back duly,Domestic appliances,874,Unknown / no savings,< 1 year,4,A92,A101,1,Real estate,24,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
< 0 DM,12,Existing credits paid back duly,Furniture/equipment,3590,< 100 DM,1-4 years,2,A93,A102,2,Savings/life insurance,29,A143,Own,1,Unskilled resident,2,A191,A201,1,0,Good Credit
0-200 DM,11,Critical account / other credits,New car,1322,>= 1000 DM,1-4 years,4,A92,A101,4,Car or other,40,A143,Own,2,Skilled employee,1,A191,A201,1,0,Good Credit
< 0 DM,18,All credits at this bank paid back,Radio/television,1940,< 100 DM,< 1 year,3,A93,A102,4,Unknown / no property,36,A141,Free,1,Management / self-employed,1,A192,A201,1,0,Good Credit
No checking account,36,Existing credits paid back duly,Radio/television,3595,< 100 DM,>= 7 years,4,A93,A101,2,Car or other,28,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
< 0 DM,9,Existing credits paid back duly,New car,1422,< 100 DM,< 1 year,3,A93,A101,2,Unknown / no property,27,A143,Free,1,Management / self-employed,1,A192,A201,2,1,Bad Credit
No checking account,30,Critical account / other credits,Radio/television,6742,Unknown / no savings,4-7 years,2,A93,A101,3,Savings/life insurance,36,A143,Own,2,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,24,Existing credits paid back duly,Used car,7814,< 100 DM,4-7 years,3,A93,A101,3,Car or other,38,A143,Own,1,Management / self-employed,1,A192,A201,1,0,Good Credit
No checking account,24,Existing credits paid back duly,Used car,9277,Unknown / no savings,1-4 years,2,A91,A101,4,Unknown / no property,48,A143,Free,1,Skilled employee,1,A192,A201,1,0,Good Credit
0-200 DM,30,Critical account / other credits,New car,2181,Unknown / no savings,>= 7 years,4,A93,A101,4,Real estate,36,A143,Own,2,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,18,Critical account / other credits,Radio/television,1098,< 100 DM,Unemployed,4,A92,A101,4,Car or other,65,A143,Own,2,Unemployed / unskilled non-resident,1,A191,A201,1,0,Good Credit
0-200 DM,24,Existing credits paid back duly,Furniture/equipment,4057,< 100 DM,4-7 years,3,A91,A101,3,Car or other,43,A143,Own,1,Skilled employee,1,A192,A201,2,1,Bad Credit
< 0 DM,12,Existing credits paid back duly,Education,795,< 100 DM,< 1 year,4,A92,A101,4,Savings/life insurance,53,A143,Own,1,Skilled employee,1,A191,A201,2,1,Bad Credit
0-200 DM,24,Critical account / other credits,Business,2825,Unknown / no savings,4-7 years,4,A93,A101,3,Unknown / no property,34,A143,Own,2,Skilled employee,2,A192,A201,1,0,Good Credit
0-200 DM,48,Existing credits paid back duly,Business,15672,< 100 DM,1-4 years,2,A93,A101,2,Car or other,23,A143,Own,1,Skilled employee,1,A192,A201,2,1,Bad Credit
No checking account,36,Critical account / other credits,New car,6614,< 100 DM,>= 7 years,4,A93,A101,4,Car or other,34,A143,Own,2,Management / self-employed,1,A192,A201,1,0,Good Credit
No checking account,28,All credits at this bank paid back,Used car,7824,Unknown / no savings,< 1 year,3,A93,A103,4,Real estate,40,A141,Rent,2,Skilled employee,2,A192,A201,1,0,Good Credit
< 0 DM,27,Critical account / other credits,Business,2442,< 100 DM,>= 7 years,4,A93,A101,4,Car or other,43,A142,Own,4,Management / self-employed,2,A192,A201,1,0,Good Credit
No checking account,15,Critical account / other credits,Radio/television,1829,< 100 DM,>= 7 years,4,A93,A101,4,Car or other,46,A143,Own,2,Skilled employee,1,A192,A201,1,0,Good Credit
< 0 DM,12,Critical account / other credits,New car,2171,< 100 DM,1-4 years,4,A93,A101,4,Savings/life insurance,38,A141,Own,2,Unskilled resident,1,A191,A202,1,0,Good Credit
0-200 DM,36,Critical account / other credits,Used car,5800,< 100 DM,1-4 years,3,A93,A101,4,Car or other,34,A143,Own,2,Skilled employee,1,A192,A201,1,0,Good Credit
No checking account,18,Critical account / other credits,Radio/television,1169,Unknown / no savings,1-4 years,4,A93,A101,3,Savings/life insurance,29,A143,Own,2,Skilled employee,1,A192,A201,1,0,Good Credit
No checking account,36,Delay in past payments,Used car,8947,Unknown / no savings,4-7 years,3,A93,A101,2,Car or other,31,A142,Own,1,Management / self-employed,2,A192,A201,1,0,Good Credit
